region ;ville ;numero
Méditerranée;Nice;6
Vallée du Rhône;Privas;7
Picardie-Champagne;Charleville-mézières;8
Pyrénées;Foix cedex;9
Vallée du Rhône;Bourg-en-Bresse;1
Ile-de-France;Evry cedex;91
Picardie-Champagne;Compiègne;60
Méditerranée;Mallemort;
Méditerranée;Montpellier cedex;
Côte Atlantique;Mont-de-Marsan;
Auvergne-Cévennes;Mende cedex;
Alsace-Lorraine;Metz cedex 1;
Bourgogne-Jura;Macon cedex;
Limousin-Périgord;Montauban;
Vallée du Rhône;Bourg-lès-Valence;
Ile-de-France;Dammarie-les-Lys;
Ile-de-France;Cergy-Pontoise;95
Bretagne;Quimper;
Pyrénées;Toulouse;31
Vallée du Rhône;Lyon cedex 02;
